./SUD\parsed_data_6.conllu	real	7	10	0	('3', '2')	RL	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('3', '5')	LR	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('5', '4')	RL	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('5', '7')	LR	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('5', '12')	RL	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('7', '6')	RL	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('7', '9')	LR	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('7', '11')	RL	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('9', '8')	RL	0	1
./SUD\parsed_data_6.conllu	real	7	10	0	('11', '10')	RL	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('2', '1')	RL	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('4', '2')	RL	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('4', '3')	RL	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('4', '7')	LR	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('4', '9')	LR	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('7', '5')	RL	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('7', '6')	RL	0	1
./SUD\parsed_data_6.conllu	real	8	8	0	('9', '8')	RL	0	1
./SUD\parsed_data_6.conllu	real	10	7	0	('1', '4')	LR	0	1
./SUD\parsed_data_6.conllu	real	10	7	0	('4', '2')	RL	0	1
./SUD\parsed_data_6.conllu	real	10	7	0	('4', '3')	RL	0	1
./SUD\parsed_data_6.conllu	real	10	7	0	('8', '1')	RL	0	1
./SUD\parsed_data_6.conllu	real	10	7	0	('8', '5')	RL	0	1
./SUD\parsed_data_6.conllu	real	10	7	0	('8', '6')	RL	0	1
./SUD\parsed_data_6.conllu	real	10	7	0	('8', '7')	RL	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('3', '1')	RL	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('3', '2')	RL	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('3', '5')	LR	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('5', '4')	RL	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('5', '7')	LR	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('7', '6')	RL	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('7', '9')	LR	0	1
./SUD\parsed_data_6.conllu	real	17	8	0	('9', '8')	RL	0	1
